# 入力読み	許容するakaza出力	理由
# このファイルに記載されたパターンは、evaluate の BAD カウントから除外される。
# 注意: Wikipedia由来の珍語（艦級等）が正解になるケースは accept に入れないこと。
あいしてもいいことはない	愛してもいいことはない	style:無い→ない,良い→いい,事→こと
たいふうによりこくどうがかんすいしたため、しゅうらくがこりつした	台風により国道が冠水したため、集落が孤立した	style:為→ため
たのしそうにできた	楽しそうにできた	style:出来→でき
でんちがきれてにゅうりょくできませんでした。	電池が切れて入力できませんでした。	style:出来→でき
ねんのためおくっておきます。	念の為送っておきます。	style:為→ため
ぱっちをあてればできるかもしれないが	パッチを当てればできるかもしれないが	style:出来→でき
ふるいままなのであくせすできませんでした	古いままなのでアクセスできませんでした	style:出来→でき
ほとんどせんだいきんこうでしか	ほとんど仙台近郊でしか	style:殆ど→ほとんど
ほんとにきれいにはいりますね	ほんとに綺麗に入りますね	style:綺麗→きれい
みぢかなばしょにしぜんたくさんあってよいですね。	身近な場所に自然たくさんあって良いですね。	style:沢山→たくさん
むさべつにつかうことができれば、	無差別に使うことができれば、	style:出来→でき
わかくてきれいなおんなのこは	若くて綺麗な女の子は	style:綺麗→きれい
わりときれいだ	割ときれいだ	style:綺麗→きれい
あまりにていはつねつかつせいおんで	あまりに低発熱かつ静音で	style:余り↔あまり
いきのでんしゃおよびかいしゃでねむけとたたかった	行きの電車および会社で眠気と戦った	style:及び↔および
いそうとくせいのへんかがなく	位相特性の変化がなく	style:無く↔なく
おなじばーじょんがすでにいんすとーるされています	同じバージョンが既にインストールされています	style:既に↔すでに
おやはなくともこはそだつ	親はなくとも子は育つ	style:無く↔なく
きくじかんがなくなりそうですが。	聞く時間がなくなりそうですが。	style:無く↔なく
きゅうじつはいえにいるよりは、がいしゅつしたほうがすずしいですね。	休日は家にいるよりは、外出した方が涼しいですね。	style:居る↔いる
げんだんかいですでに	現段階で既に	style:既に↔すでに
こーぱすのこうちくおよびあくせすをおこなう	コーパスの構築およびアクセスを行う	style:及び↔および
すでにらいばるたすう	既にライバル多数	style:既に↔すでに
せいかなくしゅうりょうした	成果なく終了した	style:無く↔なく
ただし、	ただし、	style:但し↔ただし
ついにふなびんはなくなったか。	ついに船便はなくなったか。	style:無く↔なく
つかいかたにとくにもんだいとなるてんはなく	使い方に特に問題となる点はなく	style:無く↔なく
どのひならいるかをきいておく。	どの日ならいるかを聞いておく。	style:居る↔いる
なくてはならない	なくてはならない	style:無く↔なく
なくもがな	なくもがな	style:無く↔なく
なにくれとなく	何くれとなく	style:無く↔なく
にはすでにはいっていますね	には既に入っていますね	style:既に↔すでに
はやくふろにはいらないとねるじかんがなくなる	早く風呂に入らないと寝る時間がなくなる	style:無く↔なく
ゆーざのにゅうりょくからがくしゅうされたでーたおよびとうろくされたたんごは	ユーザの入力から学習されたデータおよび登録された単語は	style:及び↔および
よけいにやるきがなくなる	余計にやる気がなくなる	style:無く↔なく
れこーどがいしゃのきょかなくちゃくうたをはいしんした	レコード会社の許可なく着うたを配信した	style:無く↔なく
このはがきはさいせいしです	このハガキは再生紙です	corpus_questionable:再製紙→再生紙
けさはよくひえた	今朝はよく冷えた	style:良く→よく
このきせつ、いなかにいたころはよくたべてました。	この季節、田舎にいた頃はよく食べてました。	style:良く→よく
こんねんどのけっさんをよくみせることがもくてきのようです	今年度の決算をよく見せることが目的のようです	style:良く→よく
しかしよくできていますね。	しかしよくできていますね。	style:良く→よく
しったかはよくないですね	知ったかはよくないですね	style:良く→よく
ちょーくのこなはめによくない	チョークの粉は目によくない	style:良く→よく
としをとるとものわすれがよくてこまる	年を取ると物忘れが良くて困る	style:良く→よく
とてもけしきもよくきもちのいいしつげん	とても景色もよく気持ちのいい湿原	style:良く→よく
よりよくするために	よりよくするために	style:良く→よく
かみならぬみのしるよしもなし	神ならぬ身の知る由もなし	style:無し→なし
きょかをもらってにっきのぶんしょうをしゃきょうする	許可をもらって日記の文章を写経する	style:貰→もら
きれいにいんじできてよかったですよ	きれいに印字できて良かったですよ	style:綺麗→きれい,よかった→良かった
ごへんかんにからんだかいすうがいっていかいすうをこえると	誤変換に絡んだ回数が一定回数を超えると	style:からんだ→絡んだ
さびしいきはします	寂しい気はします	style:さびし→寂し
しるなしたんたんめんをたべた	汁無し坦々麺を食べた	style:なし→無し
そんなものをもらってもおくばしょにこまるな	そんなものをもらっても置く場所に困るな	style:貰→もら,物→もの
たくさんもらっても	たくさんもらっても	style:貰→もら,沢山→たくさん
みるひつようなし	見る必要なし	style:無し→なし
ろーまじにゅうりょくがめんどうなくていいですね	ローマ字入力が面倒なくていいですね	style:無く→なく,良い→いい
さけのみのくせにけんこうだ	酒飲みの癖に健康だ	style:癖↔くせ
「みちゃだめ」	「見ちゃだめ」	style:ダメ↔だめ
あれはだめですね	あれはだめですね	style:ダメ↔だめ
いちやにしてごみやまとかした	一夜にしてごみ山と化した	style:ゴミ↔ごみ
おまえらどっちもあほだな	お前らどっちもあほだな	style:アホ↔あほ
けんりってあほかと	権利ってあほかと	style:アホ↔あほ
これぐらいでおどろいていてはだめです	これぐらいで驚いていてはだめです	style:ダメ↔だめ
こんなことになるとはよそうしてませんでしたよまじで	こんなことになるとは予想してませんでしたよまじで	style:マジ↔まじ
ごみはとうじつのあさまでにだしましょう	ごみは当日の朝までに出しましょう	style:ゴミ↔ごみ
ごみはぶんべつはいきしてください	ごみは分別廃棄してください	style:ゴミ↔ごみ
さいじっこうしないとだめ	再実行しないとだめ	style:ダメ↔だめ
じぎょうけいごみのゆうりょうか	事業系ごみの有料化	style:ゴミ↔ごみ
すみません、ふぁいるはじぶんでさくせいしないとだめかもしれません	すみません、ファイルは自分で作成しないとだめかもしれません	style:ダメ↔だめ
ぜったいぱすじゃないとだめ	絶対パスじゃないとだめ	style:ダメ↔だめ
それはだめですね	それはだめですね	style:ダメ↔だめ
そんなあほな	そんなあほな	style:アホ↔あほ
そんなあほな！	そんなあほな！	style:アホ↔あほ
たいおうしなきゃだめですけど	対応しなきゃだめですけど	style:ダメ↔だめ
だめすぎますね	だめすぎますね	style:ダメ↔だめ
だめそうなきがしますな	だめそうな気がしますな	style:ダメ↔だめ
だめなかのうせいがあるということですか	だめな可能性があるということですか	style:ダメ↔だめ
だめになるかのうせいもあるので	だめになる可能性もあるので	style:ダメ↔だめ
とくにせれぶでもないのにいいとしこいてしょうかくしないのはだめですか？	特にセレブでもないのにいい年こいて昇格しないのはだめですか？	style:ダメ↔だめ
どちらかでなくてはだめということはないです	どちらかでなくてはだめということはないです	style:ダメ↔だめ
なんとかしないとだめなすくえないじょうきょう	何とかしないとだめな救えない状況	style:ダメ↔だめ
にかいたらだめということですかね	に書いたらだめということですかね	style:ダメ↔だめ
のばあいはそうたいぱすじゃないとだめで	の場合は相対パスじゃないとだめで	style:ダメ↔だめ
はぜんぜんだめなのでやりますけど	は全然だめなのでやりますけど	style:ダメ↔だめ
ばいとでもてをくわえたらだめそうにみえますね	バイトでも手を加えたらだめそうに見えますね	style:ダメ↔だめ
まじでみるかちないです	まじで見る価値ないです	style:マジ↔まじ
もうちょっとまじめにめいろのつくりかたをかんがえないとだめだな	もうちょっと真面目に迷路の作り方を考えないとだめだな	style:ダメ↔だめ
ようきほうそうごみ	容器包装ごみ	style:ゴミ↔ごみ
りりーすしなきゃだめですよね	リリースしなきゃだめですよね	style:ダメ↔だめ
ろーかるでためしてもだめだったのでべつのほうほうをかんがえる	ローカルで試してもだめだったので別の方法を考える	style:ダメ↔だめ
わすれちゃだめですよ	忘れちゃだめですよ	style:ダメ↔だめ
たばたくんのことかな	田畑勲のことかな	corpus_outdated:田畑勲(サッカー選手)
いつのまにそんなにちからをつけていたんだろう	いつの間にそんなに力をつけていたんだろう	style:付け↔つけ
だんだんめんどうになってきたのですが、	だんだん面倒になってきたのですが、	style:段々↔だんだん
ちょうさしていただきありがとうございました	調査していただきありがとうございました	style:有難う↔ありがとう
でーもんにひとのなまえをつけてるんですか	デーモンに人の名前をつけてるんですか	style:付け↔つけ
にしてもいいよというものいがいうけつけないことにしました	にしてもいいよというもの以外受け付けないことにしました	style:付け↔つけ
みそをつける	味噌をつける	style:付け↔つけ
めーかのかんむりつけただけなのはじょがい	メーカの冠つけただけなのは除外	style:付け↔つけ
かりとうろくとほんとうろくのちがいはなんですか？	仮登録と本登録の違いはなんですか？	style:何で↔なんで
どようびにしまっていたのでなんでだろ	土曜日にしまっていたのでなんでだろ	style:何で↔なんで
なぜかじゅうでんできずに	何故か充電できずに	style:何故↔なぜ
なんでうちだとだいじょうぶなんでしょうなぁ	なんでうちだと大丈夫なんでしょうなぁ	style:何で↔なんで
なんでこんなにたかいところなんだろう？	なんでこんなに高いところなんだろう？	style:何で↔なんで
めもりりーくするのはなんでだろう	メモリリークするのはなんでだろう	style:何で↔なんで
でゅあるでつかってもうまくきょうちょうしてうごいてくれない	デュアルで使ってもうまく協調して動いてくれない	corpus_wrong:強調→協調が正しい
でんあつかけながらはんだづけしたのですか？	電圧かけながらはんだ付けしたのですか？	style:ハンダ↔はんだ
とーくもしごとのうちとかんがえているふしがある	トークも仕事のうちと考えている節がある	style:フシ↔節
いまいちというのがていせつですからね	いまいちというのが定説ですからね	style:と言う↔という
おりたたんでください	折りたたんでください	style:畳んで↔たたんで
というげんいんがかんがえられます。	という原因が考えられます。	style:と言う↔という
というてんで	という点で	style:と言う↔という
となりのひとがにもつをたたんでいた	隣の人が荷物を畳んでいた	style:畳んで↔たたんで
となりのやつのでんわがうるさい	隣のやつの電話がうるさい	style:奴↔やつ
とびらをあけたらまずいものをもくげきしてしまう	扉を開けたらまずいものを目撃してしまう	style:マズい→まずい,物→もの
あのせんをこえればきのうにたどりつく	あの線を超えれば昨日にたどり着く	style:越え↔こえ,超え↔こえ
いつかのぼれるちからがつくんでしょうか。	いつか登れる力がつくんでしょうか。	style:付く↔つく
きづかずにきょねんとおなじねたをやってしまった	気づかずに去年と同じネタをやってしまった	style:気付↔気づ
こえればおおいのに	超えれば多いのに	style:越え↔こえ,超え↔こえ
じっさいにもくげきするまでうたがうようそはなかったわけです	実際に目撃するまで疑う要素はなかったわけです	style:無かった↔なかった
すこしはちからがついているのがわかる	少しは力がついているのがわかる	style:分かる↔わかる,付い↔つい
たいるのしたがわについている	タイルの下側についている	style:付い↔つい
ちいさいころはわだいについていけなかった	小さい頃は話題についていけなかった	style:付い↔つい
てぶくろがついている	手袋がついている	style:付い↔つい
とりにいったけどなかった	取りに行ったけどなかった	style:無かった↔なかった
どういうふうにおーそらいずされればほんものというのかわからないですが	どういうふうにオーソライズされれば本物というのかわからないですが	style:物↔もの,分からない↔わからない,風に↔ふうに
なまけぐせがつく	怠け癖がつく	style:癖↔くせ,付く↔つく
はこえています	は超えています	style:越え↔こえ,超え↔こえ
はこえてます	は超えてます	style:越え↔こえ,超え↔こえ
ひるごはんがつく	昼ご飯がつく	style:付く↔つく
りすとをながめてみたけどさぷらいずはなかったです	リストを眺めてみたけどサプライズはなかったです	style:無かった↔なかった
をこえることはほぼかくじつなじょうせいですが	を超えることはほぼ確実な情勢ですが	style:越え↔こえ,超え↔こえ
をこえるときろくできなくなるようです	を超えると記録できなくなるようです	style:越え↔こえ,超え↔こえ
かんじへんかんがおばかだというしてきがながくつづいていましたが、	漢字変換がお馬鹿だという指摘が長く続いていましたが、	style:バカ↔馬鹿
それならばかでもできるし	それなら馬鹿でもできるし	style:バカ↔馬鹿
ばかにはばかなりのいきかたがある	馬鹿には馬鹿なりの生き方がある	style:バカ↔馬鹿
かぜひきそうなじょうきょう	風邪ひきそうな状況	style:訳↔わけ,引き↔ひき
ひきこもってげーむしていたわけですが	ひきこもってゲームしていたわけですが	style:訳↔わけ,引き↔ひき
わけはない	わけはない	style:訳↔わけ,引き↔ひき
きょうはふどうさんやにいってひっこしさきのぶっけんをえらんできました	今日は不動産屋に行って引っ越し先の物件を選んできました	style:引越し↔引っ越し
ひっこしのじゅんびはたいへんですねえ	引っ越しの準備は大変ですねえ	style:引越し↔引っ越し
うーん、わりととおいとおもいますけどねぇ	うーん、割と遠いと思いますけどねぇ	style:割と↔わりと
ちばもわりとむてきなかんじなんですか	千葉も割と無敵な感じなんですか	style:割と↔わりと
わりとかんたんだとおもいますけどね	割と簡単だと思いますけどね	style:割と↔わりと
わりとなつかしいきゃらですね	割と懐かしいキャラですね	style:割と↔わりと
こうぼからうまれた	公募から生まれた	short_ambiguous:酵母/公募
そくどがこうじょうしたにもかかわらず	速度が向上したにもかかわらず	style:関わらず↔かかわらず
とくにしぜんとのかかわりのなかではぐくまれた	特に自然との関わりの中で育まれた	style:関わり↔かかわり
あしたはあさはやいからねる	明日は朝早いからねる	style:寝る↔ねる
おれのとなりでねてるよ	俺の隣でねてるよ	style:寝て↔ねて
きょうはさっさとねることにします	今日はさっさとねることにします	style:寝る↔ねる
ねてるんだけど	ねてるんだけど	style:寝て↔ねて
ねるのでいそがしいようです。	ねるので忙しいようです。	style:寝る↔ねる
ねるまえのいめとれですかね。	ねる前のイメトレですかね。	style:寝る↔ねる
のこしつつほんとにねるですよ	残しつつほんとにねるですよ	style:寝る↔ねる
はやくかえってすうじかんねる	早く帰って数時間ねる	style:寝る↔ねる
まったりねるのがもくひょう	まったりねるのが目標	style:寝る↔ねる
かるくききかんをおぼえるできごとですね	軽く危機感を覚える出来事ですね	style:できごと↔出来事
きょうはなんだかげんきがいい	今日はなんだか元気がいい	style:何だか↔なんだか
なにかのみものとってくる	なにか飲み物取って来る	style:何か↔なにか,取って来る↔とってくる
こくないばんもでるよていで	国内版も出る予定で	style:盤↔版
しょうせつはおもしろかった	小説は面白かった	style:おもしろい↔面白い
やみよのからす	闇夜のカラス	style:烏↔カラス
